"","site_quota","radius","n.samples","n.timeBins","n.subregions","avg.obs.per.timeBin","avg.obs.per.subregion","intercept","intercept.std.error","intercept.df","intercept.t.value","intercept.p.value","slope","slope.std.error","slope.df","slope.t.value","slope.p.value"
"1",2,200000,5700,29,57,196.551724137931,100,17.7752758756908,1.08905915799709,19.8287520411074,16.3216807325523,5.84891777413735e-13,-0.795275943960614,0.0939950571000273,42.2370933983591,-8.46082728705936,1.22838623760877e-10
"2",3,200000,2500,13,25,192.307692307692,100,28.3781733445042,3.73725279288552,13.0965887493449,7.59332454002755,3.76626929465331e-06,-0.91056921406829,0.206679167913473,18.7214965725433,-4.40571356688209,0.000313470579386204
"3",4,200000,1200,8,12,150,100,39.2211393016308,4.32923277598773,7.04241025520689,9.05960509196283,3.93821475184718e-05,-0.880474543216084,0.200860934858205,9.47195993183012,-4.38350316271127,0.00155920886848717
"4",5,200000,500,4,5,125,100,43.6637173398184,15.9117722566892,2.19661520996686,2.7441140204519,0.100344277603862,-0.788823755848143,0.896147476158075,2.30391641037998,-0.880238774124494,0.460819863614592
"5",2,500000,5900,32,59,184.375,100,19.953866308529,1.14403644619822,24.7856059440635,17.4416351636682,1.99134349482799e-15,-0.799399206934573,0.0803150561182765,44.0020794511801,-9.95329201734396,7.71339264525756e-13
"6",3,500000,2800,17,28,164.705882352941,100,30.6832118882896,4.00247965093878,16.4189731514217,7.66605068962509,8.12761232955941e-07,-0.657672296526017,0.165538018632895,20.3479443644851,-3.97293807161305,0.000728910245122197
"7",4,500000,1700,11,17,154.545454545455,100,36.5469656103718,6.27096885640958,12.2607170243151,5.82796158730991,7.44668404947497e-05,-0.614855706131135,0.241195505604402,14.6432618420058,-2.54920051097301,0.0225456682055252
"8",5,500000,800,7,8,114.285714285714,100,41.9489472166138,5.57064399289649,6.00000000001418,7.5303586569355,0.000284187402214363,-0.817277184886068,0.233687607554389,6.00000000002088,-3.4973064829544,0.012868424580815
"9",2,1000000,6100,34,61,179.411764705882,100,18.5092416623841,1.07744991555693,33.4766746143607,17.1787490027476,3.59260154118774e-18,-0.827103684823607,0.080052491684208,50.4414489411868,-10.3320167482903,4.77045048113719e-14
"10",3,1000000,2700,17,27,158.823529411765,100,23.0403606217118,2.41801374264611,16.7120859360019,9.52863096489185,3.64220652142821e-08,-0.68178428439325,0.13232099090602,21.1411810095051,-5.15250286235753,4.10199800952573e-05
"11",4,1000000,1900,11,19,172.727272727273,100,32.1167636285283,3.79308721559563,16.9999999996971,8.4671830103134,1.67112946482689e-07,-0.711980176686058,0.205375492749859,16.9999999997567,-3.46672413126345,0.00294927580820798
"12",5,1000000,1100,8,11,137.5,100,38.6390050663365,7.94663855534774,6.55126803788378,4.86230810640482,0.00220517920026561,-0.643268187077534,0.312361559399247,7.58638536312873,-2.05937052022248,0.0753404788148561
