"","site_quota","radius","n.samples","n.timeBins","n.subregions","avg.obs.per.timeBin","avg.obs.per.subregion","intercept","intercept.std.Error","intercept.df","intercept.t.value","intercept.p.value","slope","slope.std.Error","slope.df","slope.t.value","slope.p.value"
"1",2,200000,5700,29,57,196.551724137931,100,25.7432259260694,1.96340817486861,28.636768468263,13.1114998172971,1.25186384825425e-13,-0.670516502557605,0.0980765569152404,46.9286211762343,-6.8366643737002,1.45676376010296e-08
"2",3,200000,2500,13,25,192.307692307692,100,31.3129304212902,4.36718244551318,12.931502642247,7.17005318920462,7.47805907989985e-06,-0.798597458165277,0.20434371682406,18.6998109655268,-3.90810870320456,0.000969373578696764
"3",4,200000,1200,8,12,150,100,40.1010342614235,3.2972137039307,10.0000000000123,12.162097413831,2.57482768375654e-07,-0.960579380169794,0.184313849756176,10.0000000000326,-5.21165057015803,0.000394599855197041
"4",5,200000,500,4,5,125,100,43.5264084507042,6.5721038656875,2.99999999999851,6.62290331075754,0.00701103308384434,-1.38116197183099,0.465650154485546,3.00000000001096,-2.96609366178973,0.0592534425836211
"5",2,500000,5900,32,59,184.375,100,28.0184728544531,2.12365068433651,23.5749730148134,13.193541226488,2.24625150096236e-12,-0.705759445614376,0.0973664379742595,42.8852741422134,-7.24848788040244,5.71465262418399e-09
"6",3,500000,2800,17,28,164.705882352941,100,29.3565177824006,3.4281942701437,16.9584016761619,8.56325968398813,1.45509866741352e-07,-0.671861637216808,0.15084774427206,20.8221779956231,-4.45390576079864,0.000223490007104372
"7",4,500000,1700,11,17,154.545454545455,100,33.8665133772866,5.13102590049672,11.45823872719,6.6003395878411,3.17322814121042e-05,-0.733569364062445,0.229534494756574,13.8411936036656,-3.19590031485424,0.00655373499865827
"8",5,500000,800,7,8,114.285714285714,100,37.5206278745166,4.38817257223477,5.99999999989556,8.5503993420679,0.000140403207767563,-0.838981305631192,0.208012026269483,5.99999999996315,-4.03333076782916,0.00685433921323461
"9",2,1000000,6100,34,61,179.411764705882,100,27.679667905929,2.22012546150553,32.5802498853556,12.4676142794014,6.02478316385054e-14,-0.690968615532143,0.0957649897339466,47.4399202747377,-7.21525285442817,3.66745569937716e-09
"10",3,1000000,2700,17,27,158.823529411765,100,29.530118765914,3.47983119461803,15.9232095088337,8.4860779487194,2.65244732105592e-07,-0.651705482946317,0.148779943586861,21.2460252075165,-4.38033156374897,0.000255576932468968
"11",4,1000000,1900,11,19,172.727272727273,100,33.226030410629,4.62804456883719,5.51287605888262,7.17928056146122,0.0005372180237483,-0.696534026751569,0.219437590298507,11.6500104836332,-3.17417825179385,0.00828228903990791
"12",5,1000000,1100,8,11,137.5,100,34.1259502868476,6.00870012670808,6.3910061552957,5.67942309771145,0.00103332458825059,-0.746693609022328,0.292247896292396,7.85337389618498,-2.55500080067388,0.0344155964538146
