"","site_quota","radius","overlap_threshold","overlap_type","n.samples","n.groups","avg.obs.per.group","intercept","intercept.std.Error","intercept.df","intercept.t.value","intercept.p.value","slope","slope.std.Error","slope.df","slope.t.value","slope.p.value"
"6",3,200000,0,"sites",23,8,2.875,36.0438150058769,12.7514922784768,9.03559569619356,2.82663504935146,0.0197558966516291,-0.218792087964689,0.280869720996846,14.164704827702,-0.778980686092348,0.448810236630882
"11",3,250000,0,"sites",23,8,2.875,41.854299205482,13.0322584346233,8.74338505404186,3.21159217456016,0.0110352133394382,-0.35366094022823,0.29367304905799,13.7118854730739,-1.20426760767684,0.248862739408841
"16",3,500000,0,"sites",22,9,2.44444444444444,41.8992623259368,13.0813575653619,10.1621550740158,3.20297508240901,0.00925852609543109,-0.342928207764626,0.222399874983162,13.7504760092371,-1.54194424700369,0.145781701357309
"17",6,500000,0,"sites",7,4,1.75,11.5059125454718,14.1520094695067,4.87361053973458,0.813023236754017,0.45407285864374,1.06744076635735,0.277224269900022,2.18569534245765,3.85045929327297,0.0531301382911459
"26",3,200000,0.25,"sites",22,8,2.75,40.0102798169338,13.1637201328235,8.4008889178632,3.039435616469,0.0151848616939452,-0.323641667445908,0.295146088366873,12.4186310764611,-1.09654737163114,0.293648034215039
"31",3,250000,0.25,"sites",22,8,2.75,38.2655543215102,13.5303933932301,8.74425114472248,2.82811838572678,0.0203433050545007,-0.26845610377602,0.297719157275638,12.8085457817055,-0.901709202164225,0.383854073331745
"36",3,500000,0.25,"sites",18,9,2,46.3981301484014,14.4816394523984,9.12073831368937,3.20392800144718,0.010582131977958,-0.410765064725936,0.250898087653331,11.4920163071752,-1.63717893814119,0.128661418062848
"37",6,500000,0.25,"sites",7,4,1.75,19.7661838541042,14.8502475977069,4.99466987376528,1.33103395913455,0.240698620046848,0.791954437690947,0.341111130621344,2.5060783867024,2.32169040115572,0.120103772870557
"46",3,200000,0.5,"sites",25,8,3.125,35.3814689929464,11.6121617916858,9.17027054026884,3.04693214128994,0.0135689668991134,-0.211817247395909,0.2541530661651,15.3925213299444,-0.833423930672985,0.417351309552566
"51",3,250000,0.5,"sites",26,8,3.25,39.2102516848524,12.6438874752874,9.46077224626307,3.10112311276807,0.0119738727574312,-0.286960808075853,0.273245425373737,15.7489378066668,-1.05019437263536,0.309477761027517
"56",3,500000,0.5,"sites",20,8,2.5,37.8315176434468,14.6079076037746,11.8046426680648,2.58979716120817,0.0239342083749153,-0.228409988634068,0.257445087884682,17.6222734596503,-0.887218282200746,0.38691014230517
"57",6,500000,0.5,"sites",8,4,2,19.2732215423381,15.8276805305863,5.99477768874103,1.2176908363227,0.269090331973573,0.73369447664849,0.3761238080306,3.63823294924421,1.95067278641612,0.129889197787173
"58",9,500000,0.5,"sites",3,2,1.5,5.47222766920434,2.21580968696701,0.999999999964129,2.46962891325505,0.244932965990006,1.45334086291902,0.0540690799511967,0.999999999968791,26.8793340709851,0.0236734400602335
"66",3,200000,0.75,"sites",54,12,4.5,34.476138550196,7.79795507226219,20.202750638279,4.42117686376903,0.000257368305730654,-0.286339417469632,0.18718589271532,33.4299708184621,-1.52970618306749,0.135498008479052
"71",3,250000,0.75,"sites",54,12,4.5,34.476138550196,7.79795507226219,20.202750638279,4.42117686376903,0.000257368305730654,-0.286339417469632,0.18718589271532,33.4299708184621,-1.52970618306749,0.135498008479052
"76",3,500000,0.75,"sites",32,12,2.66666666666667,35.5874525049733,9.6628810679951,16.2820629809773,3.68290287902272,0.00196321175999043,-0.182732969600104,0.171747643341381,25.1817312231867,-1.06396202035149,0.297442528318173
"77",6,500000,0.75,"sites",10,4,2.5,21.0955078458112,13.0706621897365,5.26004384738226,1.61395861507125,0.164568493176201,0.719791024733723,0.23678778993743,5.45110006422616,3.03981478489209,0.0257480187872096
"78",9,500000,0.75,"sites",3,2,1.5,26.1427134189536,13.4181259111014,1.00026195301199,1.94831331827976,0.30183649111749,0.902092101965585,0.289684498678203,1.00053802731042,3.11405030673622,0.197704858953986
"86",3,200000,1,"sites",54,12,4.5,34.476138550196,7.79795507226219,20.202750638279,4.42117686376903,0.000257368305730654,-0.286339417469632,0.18718589271532,33.4299708184621,-1.52970618306749,0.135498008479052
"91",3,250000,1,"sites",54,12,4.5,34.476138550196,7.79795507226219,20.202750638279,4.42117686376903,0.000257368305730654,-0.286339417469632,0.18718589271532,33.4299708184621,-1.52970618306749,0.135498008479052
"96",3,500000,1,"sites",39,11,3.54545454545455,33.91462077304,9.60113525796772,15.475046892958,3.53235527485098,0.00289285426309269,-0.143238530436145,0.154253237617863,29.5740076042955,-0.928593348497458,0.360617439884077
"97",6,500000,1,"sites",16,5,3.2,11.5580306360078,18.0468031380231,5.45450644269393,0.64044753786093,0.547820750470043,0.545574999751988,0.187486792583915,11.1703216657629,2.9099383067626,0.0139851927666848
"98",9,500000,1,"sites",7,2,3.5,4.77633016031936,1.27401635073773,5.00000000001814,3.74903364274217,0.0133069704258795,1.48089734561593,0.0323408306625335,5.00000000004714,45.7903311472928,9.38033352459341e-08
