"","site_quota","radius","n.samples","n.timeBins","n.subregions","avg.obs.per.timeBin","avg.obs.per.subregion","intercept","intercept.std.error","intercept.df","intercept.t.value","intercept.p.value","slope","slope.std.error","slope.df","slope.t.value","slope.p.value"
"1",2,200000,800,7,8,114.285714285714,100,0.151391702453186,0.191523473259278,4.27979058335911,0.79046030168969,0.470762494504681,-0.00449722876774472,0.00607046384272397,4.4605660680369,-0.740837748854246,0.495907732897821
"2",3,200000,100,1,1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",4,200000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",5,200000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2,500000,1000,7,10,142.857142857143,100,0.496340814818999,0.397536163409924,9.17704750119922,1.24854254908928,0.242743677723085,-0.00918746531759784,0.00755877729088081,10.6856346513027,-1.21546977295944,0.250358994424516
"6",3,500000,300,3,3,100,100,1.26765531145862,1.07774700410548,6.99237969375748,1.17620861540762,0.277998036763974,-0.0213435285469063,0.0182115965221926,6.60416410415565,-1.17197459985988,0.281744923545621
"7",4,500000,100,1,1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",5,500000,100,1,1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2,1000000,1100,8,11,137.5,100,0.844441051837151,0.568490877810401,10.0243920003349,1.48540827091122,0.168190088619491,-0.0268196503575978,0.020507108375651,10.3518096952044,-1.30782213983137,0.219231133443955
"10",3,1000000,400,4,4,100,100,0.857171561794742,0.694423854837599,4.79619956914927,1.23436364667398,0.274102819494555,-0.00820217105994167,0.0113976996246917,18.5377688002882,-0.719633902456305,0.480725536450257
"11",4,1000000,100,1,1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",5,1000000,100,1,1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
