"","site_quota","radius","n.samples","n.timeBins","n.subregions","avg.obs.per.timeBin","avg.obs.per.subregion","intercept","intercept.std.error","intercept.df","intercept.t.value","intercept.p.value","slope","slope.std.error","slope.df","slope.t.value","slope.p.value"
"1",2,200000,2000,10,20,200,100,5.94408570450721,1.32021223324742,7.80397259803381,4.5023713269844,0.00212430898390973,-0.134291730813697,0.0404014531937626,12.0697479059796,-3.32393318056266,0.00602153281927092
"2",3,200000,700,6,7,116.666666666667,100,16.0355004185746,3.06276350558144,5.02348731780627,5.23563128179902,0.00331992743231435,-0.0754177014077338,0.0461655044738597,4.64063733407978,-1.63363754533296,0.167766255576555
"3",4,200000,200,2,2,100,100,15.5811948199147,2.73335963052155,16.7731437398273,5.70038228630076,2.74025925417946e-05,-0.0638562710270052,0.109280142299511,16.7280921430573,-0.584335540596117,0.56679231928552
"4",5,200000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2,500000,2000,10,20,200,100,7.19914409129301,1.47549037401941,5.9545237876163,4.87915354654716,0.00282769466717644,-0.181758200390867,0.0490055812460744,4.29538208989493,-3.70892857036415,0.0182139580258269
"6",3,500000,900,7,9,128.571428571429,100,18.1086387785376,3.70341525329827,6.35982887143634,4.88971328894593,0.00232710221333616,-0.189110164622063,0.0628219303967889,6.42599809693343,-3.01025714153682,0.0217867138210917
"7",4,500000,600,5,6,120,100,19.9382662534863,2.76542589843266,3.45625733575651,7.2098356585098,0.00337034645651715,-0.119687506523789,0.0745536788136302,3.74321103705095,-1.60538699670321,0.188518137639026
"8",5,500000,400,3,4,133.333333333333,100,13.5481797151873,1.14257094146594,5.9067371203829,11.8576267113924,2.43271027455313e-05,-0.0704142391638779,0.100083021400478,2.05970364584037,-0.703558287695154,0.552738072783221
"9",2,1000000,2100,11,21,190.909090909091,100,9.11542555621267,1.89724238798026,8.74244652437828,4.80456562322364,0.00105005693531671,-0.272395075695702,0.0737666864079853,8.64402026636698,-3.69265706458811,0.0053360971298006
"10",3,1000000,1200,9,12,133.333333333333,100,15.8685294094759,3.52663449282013,7.60760854562562,4.49962405851317,0.00227274661028752,-0.145356630410444,0.0626451456997993,8.18780828610782,-2.32031754075575,0.0481828850198858
"11",4,1000000,600,5,6,120,100,19.9062171178426,5.70042689564908,3.53013347461657,3.4920572585601,0.0306740933188627,-0.138109618625637,0.0866839205428069,2.28965727365774,-1.59325533225548,0.236401687966205
"12",5,1000000,500,4,5,125,100,24.8598964339886,6.93758157378115,4.48819899803592,3.58336636039572,0.0190092217187173,-0.264865378024853,0.0680690362541827,4.77612941853508,-3.89112866290328,0.0125806517887245
