"","site_quota","radius","n.samples","n.timeBins","n.subregions","avg.obs.per.timeBin","avg.obs.per.subregion","intercept","intercept.std.error","intercept.df","intercept.t.value","intercept.p.value","slope","slope.std.error","slope.df","slope.t.value","slope.p.value"
"1",2,200000,3100,13,31,238.461538461538,100,18.2866942784522,1.16759532122278,22.5889261194309,15.6618427173048,1.27909928467378e-13,-0.366744788158679,0.0470998569450816,24.9005772803146,-7.78653719874995,3.94013999900356e-08
"2",3,200000,1100,6,11,183.333333333333,100,34.8994616439397,5.00132077199664,7.02703175560198,6.9780490464336,0.000211930460547424,-0.205146369955944,0.0823678284232347,3.84156443314025,-2.49061282642818,0.070015333777349
"3",4,200000,400,3,4,133.333333333333,100,55.3780525521149,16.6292410842653,3.00436802247158,3.33016114635044,0.0446182038579975,-0.0700778652163176,0.073852355499515,11.008435704335,-0.948891402885285,0.363042072522523
"4",5,200000,100,1,1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2,500000,3300,14,33,235.714285714286,100,18.3185619723815,1.12973544617401,30.7645716534493,16.2149129996935,1.2728280232643e-16,-0.312906875304883,0.162135594648256,6.83296280955842,-1.92990858043057,0.0959515765702308
"6",3,500000,1400,10,14,140,100,31.6637137335196,3.03942480514542,12.7281755049706,10.4176664215928,1.35417639178996e-07,-0.15371667558358,0.200897617030537,6.6714954818803,-0.765149322603535,0.470377399348973
"7",4,500000,1100,7,11,157.142857142857,100,38.5689842323144,5.03187067057014,5.8371627028427,7.66493949415125,0.000294208142150658,0.0282395281037834,0.234579226525123,4.04940889852191,0.120383754870805,0.909916327742394
"8",5,500000,600,4,6,150,100,48.832695975116,10.1116895501841,2.78305579314674,4.82933101661799,0.0200727287766977,-0.275045223520007,0.22163948340204,2.97287435422964,-1.24095769985663,0.303541299405824
"9",2,1000000,3200,16,32,200,100,18.3876283330708,1.2688252422965,21.0536171483093,14.4918525578749,2.00345282063482e-12,-0.352073401844729,0.0582877269556363,22.2991009528879,-6.0402664545951,4.19281602153233e-06
"10",3,1000000,1500,10,15,150,100,34.0803408201741,3.39087233990051,13.9714088772523,10.0506115842669,8.93800734038052e-08,-0.0869250505964385,0.147815537879221,10.0787217162754,-0.588064366193117,0.56943081849358
"11",4,1000000,1300,9,13,144.444444444444,100,37.8546246169818,3.92255976248672,11.9749462097843,9.65049021789378,5.34274149324681e-07,-0.028027778863725,0.116906371339476,13.2688434974267,-0.239745520646922,0.814191380817402
"12",5,1000000,800,4,8,200,100,48.4310700622455,7.60249737531391,2.50604902591076,6.37041588721967,0.0131628224344924,-0.063726985197299,0.191734312472778,2.9587523519489,-0.332371313070773,0.761760871965862
