"","site_quota","radius","n.samples","n.timeBins","n.subregions","avg.obs.per.timeBin","avg.obs.per.subregion","intercept","intercept.std.Error","intercept.df","intercept.t.value","intercept.p.value","slope","slope.std.Error","slope.df","slope.t.value","slope.p.value"
"1",2,200000,5900,30,59,196.666666666667,100,28.7781220405905,2.39054451456774,34.2133910555483,12.0383125539891,7.50730780076555e-14,-0.749361269281032,0.102042145689535,48.2765436479286,-7.3436447677313,2.12055434334302e-09
"2",3,200000,1900,13,19,146.153846153846,100,29.8845653232503,4.19053463251561,14.0197978065146,7.13144453964585,5.0401716859677e-06,-0.750334882326982,0.216415935452257,16.3801897517086,-3.46709626885361,0.00308496503529085
"3",4,200000,600,5,6,120,100,34.8865979381444,12.3046123882071,3.99999999996199,2.83524558413397,0.0470939164876158,-1.04742268041237,0.892670405445368,3.99999999995368,-1.1733588052466,0.30575168306471
"5",2,500000,6300,31,63,203.225806451613,100,29.0971746186769,2.18274256597113,35.2793832182264,13.3305571954754,2.44705330829923e-15,-0.735207023748574,0.0934159110828754,48.5659031347977,-7.8702548123341,3.20133803942235e-10
"6",3,500000,2600,20,26,130,100,29.0792896917589,3.20893808199255,20.3040064216843,9.06196659104822,1.41606501003324e-08,-0.587840803208709,0.134185295037194,22.347529896717,-4.38081388162369,0.000230669726099887
"7",4,500000,1800,13,18,138.461538461538,100,27.5292643841431,4.0272296370795,13.9956573171655,6.83578212940124,8.13007675174678e-06,-0.493564547192511,0.198253541613266,15.6428790807809,-2.48956232093603,0.024462796037247
"8",5,500000,1100,8,11,137.5,100,31.3098677023911,5.50357404677309,8.9999999998338,5.6890063504731,0.00029843720322372,-0.763684913217624,0.277908023932769,8.99999999984174,-2.74797719911237,0.022551315146202
"9",2,1000000,6400,35,64,182.857142857143,100,28.5155873867171,2.17386957306271,37.3756500649451,13.117432499201,1.46440992476168e-15,-0.703066270257053,0.089150023597055,49.1863485130377,-7.88632736021259,2.78070816947272e-10
"10",3,1000000,3100,23,31,134.782608695652,100,33.9414031404453,3.25437665942088,24.7945031799483,10.4294636707741,1.49502177306154e-10,-0.678526176024982,0.115261083706037,27.866520959741,-5.88686271383241,2.527837702755e-06
"11",4,1000000,2000,15,20,133.333333333333,100,36.152329388573,4.65683287859992,17.4130130221097,7.76328683700633,4.67445301346058e-07,-0.855084193125293,0.240245257830417,17.9776846920176,-3.55921361714817,0.00224511013190697
"12",5,1000000,1400,9,14,155.555555555556,100,33.4253301295893,5.65495965423047,8.56538250523083,5.91079904603455,0.000274341146122928,-0.74929446187358,0.255278800136021,10.7382490778064,-2.93520050029352,0.0138866098079229
