"","site_quota","radius","n.samples","n.timeBins","n.subregions","avg.obs.per.timeBin","avg.obs.per.subregion","intercept","intercept.std.error","intercept.df","intercept.t.value","intercept.p.value","slope","slope.std.error","slope.df","slope.t.value","slope.p.value"
"1",2,200000,900,6,9,150,100,13.746275555109,3.50786329559753,4.72385595038774,3.91870332357621,0.0125141827778634,-0.284415154196809,0.0821887951026953,4.71095982435116,-3.46051008341746,0.0198457345706941
"2",3,200000,200,2,2,100,100,16.1890440922445,3.88483926349141,0.921012247089548,4.16723653006303,0.166145672326431,-0.14090044988307,0.0435351628147881,0.95219429391639,-3.23647462816445,0.200704526008318
"3",4,200000,100,1,1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",5,200000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2,500000,1000,7,10,142.857142857143,100,14.5168196394028,3.38268179198784,5.9655263072746,4.29151204047247,0.00520866329717651,-0.403523162858519,0.098977793131154,6.16856345412592,-4.07690604218479,0.00615365714019844
"6",3,500000,400,4,4,100,100,21.970207503826,8.03337739709466,2.9872712208654,2.73486560108228,0.0719848905190201,-0.317950990811825,0.187111242632721,3.03172520573067,-1.69926182060544,0.186875384773815
"7",4,500000,100,1,1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",5,500000,100,1,1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2,1000000,1200,8,12,150,100,14.2766549701884,2.68726773511744,7.2754649688569,5.31270285562539,0.000978047305369144,-0.396702338210912,0.0854183385567279,7.49274910387676,-4.64422915399431,0.00197080190993941
"10",3,1000000,700,7,7,100,100,21.4709832070589,4.62318474592339,5.85812873057037,4.64419753633932,0.00374955698487219,-0.283115253340146,0.090631154265408,6.57506473627182,-3.12381824588772,0.0181677459895544
"11",4,1000000,200,2,2,100,100,26.497477817177,15.0390204345074,0.997026543550643,1.76191514151931,0.329196440022873,-0.310088617918306,0.232735195731276,0.972368167731221,-1.3323666708165,0.414478312248152
"12",5,1000000,100,1,1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
