"","site_quota","radius","n.samples","n.timeBins","n.subregions","avg.obs.per.timeBin","avg.obs.per.subregion","intercept","intercept.std.error","intercept.df","intercept.t.value","intercept.p.value","slope","slope.std.error","slope.df","slope.t.value","slope.p.value"
"1",2,200000,3000,11,30,272.727272727273,100,20.6640013261664,1.24435238758705,29.285489959399,16.6062294992148,1.91919278310139e-16,-0.221017641618771,0.0245779058546814,2997.39427844184,-8.99253349433242,4.18341158298892e-19
"2",3,200000,1300,6,13,216.666666666667,100,33.63463332795,3.67219844810957,3.30617165824311,9.15926353197632,0.00184401582209548,-0.247342110600164,0.0362310063456094,1293.59699588372,-6.82680763103169,1.33137105220456e-11
"3",4,200000,800,5,8,160,100,51.2222100171583,6.0894705531436,7.16238153644863,8.41160320427457,5.79909845577521e-05,-0.491714107585287,0.0660679018816651,797.260662317497,-7.44255672695648,2.56135805395715e-13
"4",5,200000,200,2,2,100,100,67.0717364459052,19.0937201744522,0.999569900891151,3.51276418807313,0.176644845739915,-0.910369476394298,0.145840515559568,196.960330093859,-6.24222612558208,2.59616041666603e-09
"5",2,500000,3100,13,31,238.461538461538,100,20.2748766655662,1.28489894212347,6.23535209701001,15.7793550923617,2.91976658950556e-06,-0.325550303640138,0.0227129667750567,3091.90776799902,-14.3332355858353,3.6804627387343e-45
"6",3,500000,1300,7,13,185.714285714286,100,31.0219972888149,3.39299473450019,5.21735075227431,9.14295473947579,0.00020924459610234,-0.431883128845518,0.0319000239001001,1292.77755931889,-13.5386459332453,3.75978465606752e-39
"7",4,500000,900,6,9,150,100,49.8100050515276,5.68367798439728,4.79879347831109,8.76369231125778,0.000394029242259744,-0.638470940867891,0.0458664385979409,894.273931565052,-13.9202205443645,5.16206898208844e-40
"8",5,500000,500,4,5,125,100,58.5333683331877,8.15638256053137,4.07697265602836,7.17638829454003,0.001856154036695,-0.504409711148838,0.0634880983718679,496.503205629784,-7.94494911777585,1.31233496671307e-14
"9",2,1000000,2900,14,29,207.142857142857,100,20.595115184814,1.24431543797035,7.71788103124684,16.5513619427623,2.63250428293299e-07,-0.356943912787543,0.0266176128813966,2897.87624324987,-13.4100647709478,7.93109751975702e-40
"10",3,1000000,1200,6,12,200,100,32.9776163784895,3.68671096491557,3.69052969981476,8.94499641884586,0.00124190077982029,-0.519004477998378,0.0362858111706421,1194.05279334683,-14.3032348252501,5.94721693584464e-43
"11",4,1000000,1000,5,10,200,100,46.0730657442799,5.4245898581246,9.09653322168486,8.49337313037126,1.27873889665344e-05,-0.752234958259514,0.0433463878159753,993.727500499799,-17.3540402363649,3.94663223415856e-59
"12",5,1000000,700,5,7,140,100,50.7484919712194,7.664788448823,6.07848217524578,6.62099056093483,0.000542019735835349,-0.670622497705255,0.0546755480927597,694.783647938284,-12.2654919995957,1.91299585377182e-31
