"","site_quota","radius","n.samples","n.timeBins","n.subregions","avg.obs.per.timeBin","avg.obs.per.subregion","intercept","intercept.std.Error","intercept.df","intercept.t.value","intercept.p.value","slope","slope.std.Error","slope.df","slope.t.value","slope.p.value"
"1",2,200000,4500,22,45,204.545454545455,100,22.1875998717787,1.5959050869519,20.5541508867654,13.9028317242574,6.40229276956835e-12,-0.846680964994275,0.114199473828065,35.5762045852313,-7.41405311787173,1.01816451392851e-08
"2",3,200000,1600,9,16,177.777777777778,100,34.2344514368176,5.44416157210972,8.75902490331761,6.28828718313573,0.000160607694909205,-0.744659756561427,0.241544963415562,12.6173782310706,-3.08290326584161,0.0090016647120274
"3",4,200000,1000,7,10,142.857142857143,100,50.0918100060837,6.4499524275061,5.66488859439472,7.76622937441601,0.000316641313369117,-0.674075073379103,0.212512811394656,7.85581779402143,-3.17192676034615,0.013468841782072
"5",2,500000,4900,27,49,181.481481481481,100,20.8437190634066,1.26175984135782,16.536020916845,16.5195613144384,1.04577063376318e-11,-0.838980268714569,0.0908684237746256,30.0130195843092,-9.23291319320595,2.82609867191555e-10
"6",3,500000,2000,13,20,153.846153846154,100,31.6254221365076,3.71862396397782,10.2063852575862,8.50460343472801,5.9999223553918e-06,-0.601918415773691,0.157420291388285,14.1647823823805,-3.82363931908262,0.00182585262155311
"7",4,500000,1100,8,11,137.5,100,53.1123856167032,6.01945776398954,8.99999999980249,8.823450167628,1.00373224063074e-05,-0.780190746230184,0.23031282307516,8.99999999983232,-3.38752630362912,0.00803053846440469
"8",5,500000,700,6,7,116.666666666667,100,59.1790483355275,8.66379584157395,4.99999999994545,6.83061436553616,0.00102591343106286,-0.70246379537333,0.236500439349642,4.99999999997092,-2.97024308836402,0.0311483549292747
"9",2,1000000,4800,29,48,165.51724137931,100,20.6772950305496,1.4158315593701,28.0550113226277,14.6043467485276,1.22630185923072e-14,-0.834187029386954,0.0985565283070915,41.237868879469,-8.46404640784137,1.47180490525364e-10
"10",3,1000000,2100,15,21,140,100,33.8590466423669,4.35975122099273,13.9191038815372,7.76627952515535,2.00344490378378e-06,-0.699572949608893,0.181926214798743,17.6491633783807,-3.84536637769768,0.00122224670466199
"11",4,1000000,1300,8,13,162.5,100,44.6490952074789,6.22422953144047,5.68203874094768,7.17343327104869,0.000472491225164317,-0.724813054157147,0.242422788334523,10.1342593633503,-2.98987178200824,0.0133874961826181
"12",5,1000000,900,7,9,128.571428571429,100,44.936769343783,6.28855681637942,5.31886668404573,7.14580000720338,0.000641897412242457,-0.490099377699762,0.192559204088753,6.62836428717265,-2.54518801123559,0.0401717482424325
