"","site_quota","radius","n.samples","n.timeBins","n.subregions","avg.obs.per.timeBin","avg.obs.per.subregion","intercept","intercept.std.error","intercept.df","intercept.t.value","intercept.p.value","slope","slope.std.error","slope.df","slope.t.value","slope.p.value"
"1",2,200000,4500,22,45,204.545454545455,100,21.8005827167317,1.52761150712445,20.4569238690595,14.271025463646,4.22836503876764e-12,-0.797440504185806,0.104800488652071,37.9597106381656,-7.60912963710731,3.76949205780487e-09
"2",3,200000,1600,9,16,177.777777777778,100,35.7041295922768,5.07427088998201,8.54045196767158,7.03630735654387,7.88832086522211e-05,-0.647586995449028,0.211253413389493,12.9986294234321,-3.065451038441,0.00902849550444501
"3",4,200000,1000,7,10,142.857142857143,100,50.532721602627,7.15370274469646,5.48886387207042,7.0638553775652,0.000593978401766965,-0.659099141599294,0.232673239351658,7.85101333971921,-2.83272431086561,0.0224807470925652
"5",2,500000,4900,27,49,181.481481481481,100,20.766269936676,1.42092515149398,18.1632885572064,14.6146121172125,1.73604737696454e-11,-0.796557919738865,0.103658191157463,34.441953998749,-7.68446671550392,5.68494620982821e-09
"6",3,500000,2000,13,20,153.846153846154,100,30.4943484406221,3.86170104212927,10.8584148970712,7.89661035588816,8.00392459401976e-06,-0.587137573443744,0.159408871629745,14.3532433139577,-3.68321767440569,0.00236599000195432
"7",4,500000,1100,8,11,137.5,100,51.6072280115532,6.28020681040661,5.99975237735256,8.21744085338679,0.000175318440536044,-0.799881278670075,0.241779736830136,8.66995519639094,-3.30830568829693,0.0095883214759335
"8",5,500000,700,6,7,116.666666666667,100,59.4272404614019,9.40888885063459,4.99999999998027,6.31607423626795,0.00146544604786722,-0.708518189884649,0.264123794022109,4.99999999996561,-2.68252314225556,0.0436879116732742
"9",2,1000000,4800,29,48,165.51724137931,100,21.1787333556946,1.25811525505692,26.1835224538159,16.8336988766076,1.45499768866992e-15,-0.834546237409712,0.0897219630616262,41.2091858192472,-9.30147099920783,1.11932899061827e-11
"10",3,1000000,2100,15,21,140,100,31.0372812508698,3.97079530715785,13.804938242752,7.81638912358974,1.96218583905912e-06,-0.60513201263468,0.166129601501517,18.1084192054106,-3.64252973079667,0.00184728294295335
"11",4,1000000,1300,8,13,162.5,100,45.5569015476037,6.22072824960285,5.00836462674595,7.32340326078578,0.000738859829095728,-0.762081727543325,0.258517853316352,10.4762357283199,-2.94788819327985,0.0139169834831284
"12",5,1000000,900,7,9,128.571428571429,100,49.7503267973856,8.65598547563324,6.99999999980922,5.74750580825646,0.000700207520030538,-0.574509803921569,0.274551187727295,6.99999999978801,-2.09254168112438,0.074689204619694
