"","site_quota","radius","n.samples","n.timeBins","n.subregions","avg.obs.per.timeBin","avg.obs.per.subregion","intercept","intercept.std.error","intercept.df","intercept.t.value","intercept.p.value","slope","slope.std.error","slope.df","slope.t.value","slope.p.value"
"1",2,200000,500,5,5,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",3,200000,100,1,1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",4,200000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",5,200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2,500000,800,6,8,133.333333333333,100,0.889612938031137,0.439623947728846,9.76297316191905,2.02357706541464,0.0712424500040602,-0.0144436810085025,0.00646085278447375,796.627903005774,-2.23556881580904,0.0256563402009813
"6",3,500000,200,2,2,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",4,500000,100,1,1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",5,500000,100,1,1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2,1000000,900,8,9,112.5,100,1.35814961848598,0.261606597958292,13.3760031685382,5.19157249505806,0.00015833231474196,-0.0368326894380753,0.00562332640597074,618.180131379863,-6.54998247993697,1.21192319045105e-10
"10",3,1000000,300,3,3,100,100,3.31585942382592,0.644464969799186,7.2524479887504,5.14513523498281,0.0011934289078087,-0.061204056246493,0.00906670266492003,297.659873268819,-6.7504205782878,7.71230031671018e-11
"11",4,1000000,100,1,1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",5,1000000,100,1,1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
