"","site_quota","radius","n.samples","n.timeBins","n.subregions","avg.obs.per.timeBin","avg.obs.per.subregion","intercept","intercept.std.Error","intercept.df","intercept.t.value","intercept.p.value","slope","slope.std.Error","slope.df","slope.t.value","slope.p.value"
"1",2,200000,4400,25,44,176,100,21.840882700069,1.79912296741307,29.6118955086533,12.1397386924995,5.04888990321202e-13,-0.79003573261505,0.115833681295393,37.9935818614249,-6.82043187939732,4.31091906079557e-08
"2",3,200000,1800,12,18,150,100,38.6435869024832,6.24506722671008,13.0906259232388,6.18785763221332,3.18269835328518e-05,-0.552428269875907,0.217308748627156,15.5142383392857,-2.54213543341381,0.0221209853906755
"5",2,500000,5000,28,50,178.571428571429,100,20.6331942298658,1.53278235307592,32.3879307636226,13.4612681235924,8.14130731251587e-15,-0.68902135776567,0.092214273398471,42.7465481545623,-7.47195995123565,2.7826583526425e-09
"6",3,500000,2200,17,22,129.411764705882,100,28.598810058322,4.20385980287354,18.3298440144794,6.80298853895492,2.06175913165215e-06,-0.373610859331728,0.162345946311026,19.565529656671,-2.30132545851164,0.0325133901433281
"7",4,500000,1500,11,15,136.363636363636,100,39.1723015113028,7.12335623692329,10.7509172427875,5.49913554909083,0.000202417598789293,-0.49803571464401,0.238805616858751,12.6556645442542,-2.08552764040968,0.0578657491983092
"8",5,500000,800,7,8,114.285714285714,100,59.5383963793896,15.5193375627984,6.00000000000697,3.83640062847204,0.00859485184640988,-0.68748033592294,0.36649486732159,6.0000000000477,-1.87582527675536,0.10978860714194
"9",2,1000000,5000,30,50,166.666666666667,100,21.7357609156422,1.48812984181786,47.9999999989922,14.6060916896139,2.74234890817287e-19,-0.832980076303518,0.096388259321922,47.999999999018,-8.64192467177452,2.4010133252186e-11
"10",3,1000000,2500,20,25,125,100,31.3883766596645,3.91087304279079,20.5115723866295,8.02592575014038,9.2558490438996e-08,-0.533741109747358,0.150536293064043,22.4931347683442,-3.54559753587321,0.00176888196459309
"11",4,1000000,1800,13,18,138.461538461538,100,42.3607567125353,8.23646394834754,14.0388937850631,5.14307559386987,0.000148076279288037,-0.617979269609441,0.302608347389657,15.3066034468325,-2.04217522398248,0.0587560689928778
"12",5,1000000,1200,7,12,171.428571428571,100,61.2464708524413,14.6228176032577,6.48740968932679,4.18841789005128,0.0048460433652351,-0.964777185465458,0.390146705185346,8.73264608489346,-2.47285744732132,0.0361658084937581
