"","site_quota","radius","n.samples","n.timeBins","n.subregions","avg.obs.per.timeBin","avg.obs.per.subregion","intercept","intercept.std.error","intercept.df","intercept.t.value","intercept.p.value","slope","slope.std.error","slope.df","slope.t.value","slope.p.value"
"1",2,200000,4400,25,44,176,100,22.9494147931007,1.90940233155847,28.1659345664934,12.0191613961052,1.31963937651355e-12,-0.807524539574618,0.119598050004421,37.594246110936,-6.7519875076957,5.62352015411587e-08
"2",3,200000,1800,12,18,150,100,37.9679693435748,6.03827955820307,12.9292742746986,6.28787868756339,2.86814950909049e-05,-0.560918170166747,0.220364869173498,15.3458044508406,-2.54540649909639,0.0221121914714231
"5",2,500000,5000,28,50,178.571428571429,100,20.7012873184371,1.40372460090075,27.4907114927324,14.7473993867126,1.39688291687089e-14,-0.784172974402269,0.092669553217059,39.8792909096984,-8.46203469402197,1.93604508454233e-10
"6",3,500000,2200,17,22,129.411764705882,100,29.9721447243508,3.83187255594201,17.8332005839361,7.82180103507711,3.59131658578025e-07,-0.437077293469409,0.146906277949601,19.382773509526,-2.97521181238664,0.00765948328864459
"7",4,500000,1500,11,15,136.363636363636,100,36.5670359554882,8.74451128201837,11.1940004758722,4.18171293696907,0.00147573735714396,-0.31815511189563,0.278598038316548,12.6249796341172,-1.14198618848183,0.274656666779374
"8",5,500000,800,7,8,114.285714285714,100,58.6537147637749,15.9017898846641,5.9999999998794,3.68849765901771,0.010226949877962,-0.661244219283772,0.378011827146641,5.9999999998943,-1.74926859901465,0.130822850202974
"9",2,1000000,5000,30,50,166.666666666667,100,22.3683578168622,1.50904326791549,31.1789581507621,14.8228737322825,1.14856422364266e-15,-0.884481909838848,0.0971387197077547,42.3563364769763,-9.10534864469949,1.5765818511477e-11
"10",3,1000000,2500,20,25,125,100,32.0874106292917,3.82443190811183,20.759232649919,8.39011162971227,4.16121914709455e-08,-0.585018043608138,0.147881836672384,22.2277561088478,-3.95598307927553,0.00066089948436031
"11",4,1000000,1800,13,18,138.461538461538,100,43.9341177671588,6.92191414970625,13.0317309197417,6.34710526842106,2.51873599132341e-05,-0.671162645681289,0.250626267142028,14.7547681226841,-2.67794215400793,0.017391062997279
"12",5,1000000,1200,7,12,171.428571428571,100,59.0475745798272,14.1441073828272,6.3870647899779,4.17471198299292,0.00509694369640346,-0.872501381840534,0.347672141296528,8.63346721459632,-2.50955218496032,0.03436742910896
