"","site_quota","radius","overlap_threshold","overlap_type","n.samples","n.groups","avg.obs.per.group","intercept","intercept.std.Error","intercept.df","intercept.t.value","intercept.p.value","slope","slope.std.Error","slope.df","slope.t.value","slope.p.value"
"1",3,100000,0,"sites",7,4,1.75,45.1372201694168,17.4515549045584,1.44361176112295,2.58642971450222,0.168533804293731,-0.48168928043114,1.19195065959302,1.50547975455927,-0.40411847298747,0.736098127824943
"6",3,200000,0,"sites",8,4,2,53.9173661493177,25.7820736087005,1.77238192041719,2.0912734548676,0.18774811439636,-0.0754265717349124,0.273430248811623,3.96330809114074,-0.275853063304919,0.796446024557239
"11",3,250000,0,"sites",8,3,2.66666666666667,38.974473333139,28.4548995782473,3.16019726210592,1.36969287928655,0.25999852365339,1.61921878515679,0.762785510845268,5.71555354415348,2.12277076862993,0.0802744839387161
"16",3,500000,0,"sites",6,3,2,59.6016626662307,26.4741293973836,4.0000000000202,2.25131719240297,0.087517419298244,1.38233628686313,0.645009221851829,3.99999999997194,2.14312639266524,0.098740487039518
"21",3,100000,0.25,"sites",7,4,1.75,45.5656877583732,17.6528010354201,1.48457822933414,2.58121573267303,0.164538331051517,-0.497051947566352,1.20482086582349,1.5454843684901,-0.412552572474431,0.729940165810121
"26",3,200000,0.25,"sites",8,4,2,53.9173661493177,25.7820736087005,1.77238192041702,2.0912734548676,0.187748114396374,-0.0754265717349125,0.273430248811623,3.96330809114029,-0.27585306330492,0.796446024557241
"31",3,250000,0.25,"sites",7,3,2.33333333333333,41.1917294934381,22.8697514462533,2.5244410184739,1.80114460755044,0.186525040007584,1.17512813364986,0.464123084031879,3.75940513951642,2.53193209749754,0.0684772103124958
"36",3,500000,0.25,"sites",5,3,1.66666666666667,46.1479301125955,36.6215607007272,2.01707458861717,1.26013007718918,0.333821875754992,1.78416851958887,0.23724475179495,0.970867407711637,7.52037086633185,0.0888110795608912
"41",3,100000,0.5,"sites",7,4,1.75,44.9382838604103,18.0146206600409,1.52396416048256,2.49454510913405,0.167827388123739,-0.462379408134182,1.2288814005089,1.59010836905898,-0.376260400672273,0.75084532422637
"46",3,200000,0.5,"sites",8,4,2,52.3801133263359,9.9707748856638,2.00034627971652,5.25336435001147,0.0343645127519848,-0.2707540021425,0.112200029421985,3.48440450474977,-2.41313664120526,0.082801107986355
"51",3,250000,0.5,"sites",7,3,2.33333333333333,35.3847102835889,19.1864499048297,2.30804348759102,1.84425521444077,0.189257121652302,1.23848379896762,0.287768014835547,3.38921733478639,4.30375766283611,0.0179554294067596
"56",3,500000,0.5,"sites",6,3,2,59.6016626662306,26.4741293973836,4.00000000001286,2.25131719240297,0.087517419298367,1.38233628686313,0.645009221851829,4.00000000003277,2.14312639266525,0.0987404870384728
"61",3,100000,0.75,"sites",10,5,2,46.2798813382111,9.86482163570912,1.98862959334941,4.69140578991161,0.0430248293657331,-0.698113646589995,0.335013903296134,2.97527941894709,-2.08383484900595,0.129285365593175
"66",3,200000,0.75,"sites",10,5,2,43.6829214383637,20.9927579325754,2.82323596649669,2.08085672109709,0.134567201972888,-0.00792143963895894,0.243302987659771,5.7772475139569,-0.0325579217713351,0.975122647228766
"71",3,250000,0.75,"sites",7,3,2.33333333333333,32.7163051909813,23.4100508686254,2.0665670900025,1.39753242633182,0.293381401076072,1.70494330292401,0.171289445504584,3.08370092795833,9.95358060680037,0.00191803411066893
"76",3,500000,0.75,"sites",6,3,2,59.6016626662307,26.4741293973836,4.0000000000202,2.25131719240297,0.087517419298244,1.38233628686313,0.645009221851829,3.99999999997194,2.14312639266524,0.098740487039518
"81",3,100000,1,"sites",9,4,2.25,47.4198421780746,18.2930120526444,1.71493310928935,2.59223806563992,0.142288576538903,-0.543312515062986,1.2611686602251,1.89972019115486,-0.430800837507341,0.710539494197912
"86",3,200000,1,"sites",8,4,2,53.9173661493177,25.7820736087005,1.77238192041719,2.0912734548676,0.18774811439636,-0.0754265717349124,0.273430248811623,3.96330809114074,-0.275853063304919,0.796446024557239
"91",3,250000,1,"sites",9,3,3,50.5076025100823,28.9177177853548,2.66543709906891,1.74659711686036,0.190415517508344,1.34302248912029,0.517780713664696,6.4947412622537,2.59380555064476,0.0381783001694238
"96",3,500000,1,"sites",6,3,2,59.6016626662306,26.4741293973836,4.00000000001286,2.25131719240297,0.087517419298367,1.38233628686313,0.645009221851829,4.00000000003277,2.14312639266525,0.0987404870384728
